OffspringID1,OffspringID2,Probability
L0317,L0331,0.038
L0317,L0366,1.000
L0317,L0385,0.089
L0317,L0658,0.006
L0317,L0692,0.275
L0317,L0874,0.005
L0317,L0885,0.483
L0317,L0891,0.002
L0317,L1104,0.002
L0317,L1116,0.011
L0317,L1258,0.746
L0317,L1312,0.218
L0317,L1318,0.998
L0321,L0366,0.483
L0321,L0374,0.286
L0321,L0387,0.967
L0321,L0643,0.006
L0321,L0694,0.084
L0321,L1079,0.013
L0321,L1117,0.003
L0321,L1318,1.000
L0321,L2394,0.003
L0324,L0366,0.108
L0324,L0400,0.001
L0324,L0874,0.808
L0324,L0875,0.869
L0324,L0883,0.021
L0324,L0885,0.001
L0324,L1080,0.346
L0324,L1260,0.915
L0326,L0331,0.154
L0326,L0366,0.960
L0326,L0392,0.002
L0326,L0646,0.003
L0326,L0773,0.004
L0326,L0885,0.005
L0326,L0889,0.008
L0326,L1104,0.014
L0326,L1112,0.002
L0326,L1117,0.001
L0326,L1258,0.004
L0326,L1274,0.010
L0326,L1312,0.003
L0326,L1318,0.816
L0330,L0363,0.054
L0330,L1269,0.834
L0331,L0366,0.664
L0331,L0385,0.022
L0331,L0392,0.001
L0331,L0400,0.770
L0331,L0874,0.058
L0331,L0875,0.003
L0331,L1210,0.002
L0331,L1258,0.008
L0331,L1312,0.016
L0352,L0366,0.996
L0352,L0400,0.001
L0352,L0641,0.976
L0352,L0694,0.082
L0352,L1099,1.000
L0352,L1117,0.003
L0352,L1263,0.002
L0352,L1314,0.002
L0363,L1269,0.041
L0366,L0375,0.017
L0366,L0392,0.624
L0366,L0400,1.000
L0366,L0692,0.067
L0366,L0854,0.003
L0366,L0874,0.670
L0366,L0883,0.003
L0366,L1080,0.001
L0366,L1101,0.225
L0366,L1104,0.029
L0366,L1116,0.856
L0366,L1258,0.001
L0366,L1272,0.002
L0366,L1314,0.998
L0374,L0387,0.267
L0374,L0400,0.053
L0374,L0641,0.068
L0374,L0682,0.021
L0374,L0694,0.003
L0374,L0858,0.003
L0374,L1249,0.007
L0374,L1318,0.999
L0375,L0385,0.015
L0375,L0400,0.105
L0375,L0658,0.148
L0375,L0696,0.025
L0375,L0773,0.034
L0375,L0854,0.761
L0375,L0883,0.016
L0375,L1083,0.001
L0375,L1258,0.005
L0375,L1260,0.250
L0375,L1272,0.999
L0375,L1274,0.004
L0375,L1312,0.946
L0375,L2525,0.011
L0385,L0387,0.046
L0385,L0400,0.078
L0385,L0869,0.123
L0385,L1101,0.014
L0385,L1312,0.042
L0387,L0394,0.601
L0387,L0643,0.265
L0387,L0658,0.363
L0387,L0694,0.084
L0387,L0852,1.000
L0387,L0887,0.289
L0387,L1074,0.997
L0387,L1082,0.860
L0387,L1087,0.364
L0387,L1099,0.004
L0387,L1117,0.003
L0387,L1118,1.000
L0387,L1220,0.019
L0387,L1263,0.648
L0387,L1274,0.130
L0387,L1309,0.999
L0387,L1318,0.006
L0387,L2496,1.000
L0387,L2524,0.873
L0392,L0874,0.003
L0392,L0885,0.002
L0392,L1263,0.006
L0392,L1724,0.016
L0392,L1733,0.053
L0394,L0643,0.475
L0394,L0694,0.084
L0394,L0870,0.002
L0394,L1117,0.003
L0394,L1263,1.000
L0394,L1318,0.021
L0400,L0414,0.762
L0400,L0641,0.208
L0400,L0646,0.770
L0400,L0658,0.034
L0400,L0682,0.001
L0400,L0692,0.012
L0400,L0694,0.027
L0400,L0773,0.043
L0400,L0862,0.008
L0400,L1074,0.041
L0400,L1082,0.095
L0400,L1087,0.104
L0400,L1099,0.037
L0400,L1112,0.770
L0400,L1117,0.017
L0400,L1210,0.042
L0400,L1258,0.747
L0400,L1318,0.328
L0400,L2524,0.228
L0405,L0476,0.194
L0405,L2348,0.003
L0405,L2488,0.101
L0405,L2756,0.006
L0411,L0685,0.999
L0414,L0646,0.003
L0414,L0854,0.925
L0414,L0855,0.844
L0414,L0869,0.004
L0414,L1249,0.001
L0414,L1312,0.005
L0436,L0658,1.000
L0436,L1258,0.140
L0436,L1263,0.014
L0436,L1274,0.174
L0436,L1733,0.558
L0476,L0484,0.856
L0476,L1110,0.049
L0480,L0484,1.000
L0484,L1110,0.997
L0494,L2347,0.725
L0641,L0682,0.977
L0641,L0694,0.082
L0641,L0852,0.006
L0641,L0976,0.984
L0641,L1074,0.033
L0641,L1078,0.319
L0641,L1099,0.041
L0641,L1117,0.002
L0641,L1249,0.983
L0641,L1263,0.904
L0641,L1318,0.987
L0641,L1724,0.506
L0641,L2394,0.007
L0641,L2524,0.001
L0643,L0646,0.991
L0643,L0694,0.002
L0643,L0869,0.822
L0643,L0870,0.756
L0643,L0889,0.902
L0643,L1116,0.005
L0643,L1117,0.021
L0643,L1220,0.003
L0643,L1249,0.748
L0643,L1318,0.052
L0643,L1724,0.113
L0643,L1733,0.471
L0646,L0694,0.082
L0646,L0852,0.238
L0646,L0874,0.998
L0646,L0885,0.911
L0646,L1082,0.988
L0646,L1083,0.126
L0646,L1087,0.005
L0646,L1210,0.050
L0646,L1249,0.005
L0653,L0874,0.018
L0653,L1083,0.245
L0653,L1260,0.002
L0658,L0854,0.011
L0658,L0891,0.043
L0658,L1112,0.997
L0658,L1249,0.002
L0658,L1260,0.616
L0658,L1312,0.012
L0682,L0694,0.084
