OffspringID1,OffspringID2,Probability
L2733,L3366,0.930
L2733,L3412,0.993
L2733,L3553,1.000
L2733,L3944,0.141
L2733,L4462,0.013
L2733,L5062,0.006
L2733,L5414,0.579
L2733,L5485,0.002
L2733,L5588,0.285
L2738,L2803,0.008
L2738,L2884,0.067
L2738,L2948,0.005
L2738,L3030,0.813
L2738,L3101,0.993
L2738,L3369,0.669
L2738,L3395,0.740
L2738,L3984,0.999
L2738,L4441,0.014
L2738,L4937,0.004
L2738,L4979,0.060
L2738,L5227,0.003
L2738,L5453,0.005
L2744,L2877,0.039
L2744,L2910,0.025
L2744,L3035,0.003
L2744,L3130,0.237
L2744,L3347,0.043
L2744,L3382,0.002
L2744,L3607,0.001
L2744,L4462,0.395
L2744,L4889,0.328
L2744,L5047,0.184
L2744,L5177,0.011
L2744,L5238,0.001
L2744,L5281,0.001
L2744,L5300,0.160
L2744,L5414,0.001
L2744,L5588,0.002
L2744,L5593,0.002
L2746,L2827,0.017
L2746,L2923,0.820
L2746,L3005,0.003
L2746,L3016,0.004
L2746,L3030,0.763
L2746,L3041,0.240
L2746,L3093,0.067
L2746,L3109,0.003
L2746,L3240,0.001
L2746,L4425,0.727
L2746,L5276,0.004
L2746,L5315,0.002
L2746,L5469,0.993
L2746,L5476,0.964
L2758,L2947,0.001
L2758,L3020,0.664
L2758,L3031,0.903
L2758,L3093,0.067
L2758,L5024,0.002
L2758,L5063,0.171
L2758,L5138,0.031
L2758,L5300,0.026
L2773,L4937,0.070
L2773,L5064,0.012
L2773,L5407,0.779
L2773,L5488,0.003
L2803,L2877,0.529
L2803,L2884,0.067
L2803,L3030,0.008
L2803,L3114,0.923
L2803,L3240,0.689
L2803,L3702,0.002
L2803,L3984,0.185
L2803,L4451,0.011
L2803,L4979,0.615
L2803,L5014,0.002
L2803,L5036,0.905
L2803,L5227,0.352
L2803,L5261,0.005
L2803,L5407,0.044
L2803,L5453,0.002
L2803,L5488,0.006
L2827,L2877,0.010
L2827,L2898,0.139
L2827,L3035,0.993
L2827,L3155,0.832
L2827,L3944,0.002
L2827,L4462,0.041
L2827,L4951,0.009
L2827,L5055,0.003
L2827,L5238,0.006
L2827,L5588,0.012
L2835,L2911,0.145
L2835,L2962,0.004
L2835,L3030,0.053
L2835,L3088,0.460
L2835,L3093,0.067
L2835,L3101,0.970
L2835,L3130,0.005
L2835,L3297,1.000
L2835,L3397,0.009
L2835,L3425,0.050
L2835,L5048,0.002
L2835,L5063,0.001
L2835,L5315,0.001
L2840,L2872,0.304
L2872,L2881,0.008
L2874,L2884,0.916
L2874,L3052,0.796
L2874,L3067,0.084
L2874,L3093,0.688
L2874,L5072,0.187
L2877,L2898,0.007
L2877,L2916,0.093
L2877,L2947,0.013
L2877,L2985,0.995
L2877,L3028,1.000
L2877,L3035,0.133
L2877,L3088,0.398
L2877,L3240,0.992
L2877,L3363,0.107
L2877,L3366,1.000
L2877,L3412,0.001
L2877,L4462,0.065
L2877,L5045,0.816
L2877,L5138,0.007
L2877,L5174,0.205
L2881,L2884,0.066
L2884,L2948,0.067
L2884,L2962,0.067
L2884,L2966,0.067
L2884,L2993,0.067
L2884,L3030,0.067
L2884,L3038,0.067
L2884,L3039,0.067
L2884,L3068,0.067
L2884,L3069,0.067
L2884,L3076,0.067
L2884,L3086,0.201
L2884,L3093,0.997
L2884,L3101,0.067
L2884,L3114,0.067
L2884,L3369,0.067
L2884,L3370,0.067
L2884,L3384,0.067
L2884,L3395,0.067
L2884,L3402,0.067
L2884,L3430,0.067
L2884,L3586,0.067
L2884,L3773,0.067
L2884,L3984,0.067
L2884,L4441,0.067
L2884,L4451,0.067
L2884,L4923,0.021
L2884,L4937,0.067
L2884,L4966,0.067
L2884,L4979,0.067
L2884,L5014,0.067
L2884,L5064,0.067
L2884,L5066,0.067
L2884,L5070,0.067
L2884,L5072,0.264
L2884,L5227,0.067
L2884,L5244,0.067
L2884,L5261,0.067
L2884,L5390,0.067
L2884,L5407,0.067
L2884,L5453,0.067
L2884,L5469,0.066
L2884,L5483,0.067
L2884,L5488,0.067
L2898,L2966,0.020
L2898,L2985,0.013
L2898,L3028,1.000
L2898,L3035,0.661
L2898,L3068,0.239
L2898,L3069,0.004
L2898,L3155,0.477
L2898,L3344,0.512
L2898,L3363,0.289
L2898,L4462,0.008
L2898,L5047,0.033
L2898,L5069,0.065
L2898,L5230,0.206
L2898,L5238,0.466
L2898,L5248,0.483
L2898,L5281,0.026
L2898,L5393,0.006
L2898,L5593,0.027
L2906,L2911,1.000
L2906,L2962,0.357
L2906,L3093,0.067
L2906,L3101,0.792
L2906,L3155,1.000
L2906,L3397,0.012
L2906,L4921,0.997
L2906,L5063,0.996
L2906,L5071,1.000
L2906,L5138,0.055
L2906,L5246,0.985
L2906,L5253,0.010
L2910,L2985,0.001
L2910,L3028,0.003
L2910,L3035,0.012
L2910,L3310,0.198
L2910,L3700,0.001
L2910,L5045,0.001
L2910,L5062,0.039
L2910,L5177,0.001
L2910,L5238,0.008
L2911,L2947,0.081
L2911,L2967,0.617
L2911,L2979,0.981
L2911,L2995,0.003
L2911,L3005,0.005
L2911,L3016,0.146
L2911,L3031,0.999
L2911,L3041,0.014
L2911,L3093,0.067
L2911,L3103,0.879
L2911,L3105,0.913
L2911,L3130,0.459
L2911,L3295,0.027
L2911,L3296,0.001
L2911,L3297,0.820
L2911,L3397,0.999
L2911,L3402,0.934
L2911,L3425,0.180
L2911,L3434,0.003
L2911,L4905,0.008
L2911,L4921,0.159
L2911,L5045,0.309
L2911,L5063,0.996
L2911,L5246,0.383
L2911,L5315,0.003
L2916,L2923,0.996
L2916,L2967,0.024
L2916,L3028,0.001
L2916,L3076,0.001
L2916,L3382,0.019
L2916,L4905,0.040
L2916,L5036,0.004
L2916,L5037,0.116
L2916,L5092,0.001
L2923,L2947,0.997
L2923,L2967,0.268
L2923,L3005,0.939
L2923,L3016,0.893
L2923,L3020,0.997
L2923,L3031,0.999
L2923,L3041,1.000
L2923,L3093,0.067
L2923,L3109,0.999
L2923,L3240,1.000
L2923,L3401,0.977
L2923,L3402,0.046
L2923,L3861,0.008
L2923,L4053,0.002
L2923,L4425,0.995
L2923,L4905,0.008
L2923,L4921,0.166
L2923,L5045,0.938
L2923,L5048,0.002
L2923,L5069,0.201
L2923,L5246,0.002
L2923,L5276,0.887
L2923,L5476,0.996
L2947,L2979,0.739
L2947,L3005,0.002
L2947,L3016,0.994
L2947,L3020,0.016
L2947,L3093,0.067
L2947,L3109,1.000
L2947,L3150,0.002
L2947,L3363,0.822
L2947,L3401,0.700
L2947,L4053,0.060
L2947,L4418,0.926
L2947,L4441,0.431
L2947,L5048,0.006
L2947,L5092,0.059
L2947,L5248,0.954
L2948,L2966,0.007
L2948,L3984,0.001
L2948,L4937,0.976
L2948,L5036,0.032
L2948,L5092,0.003
L2948,L5138,0.011
L2948,L5261,0.014
L2948,L5407,0.974
L2948,L5453,0.177
L2948,L5476,0.102
L2956,L3036,0.996
L2962,L2967,0.077
L2962,L3041,0.002
L2962,L3088,0.994
L2962,L3103,0.514
L2962,L3114,0.001
L2962,L3369,0.001
L2962,L3370,0.920
L2962,L3402,0.005
L2962,L3430,0.886
L2962,L3773,0.073
L2962,L4966,0.003
L2962,L5064,1.000
L2962,L5227,0.997
L2962,L5390,0.630
L2966,L3101,0.010
L2966,L3402,0.015
L2966,L4979,0.001
L2966,L5066,0.535
L2966,L5069,0.020
L2966,L5407,1.000
L2967,L2995,0.022
L2967,L3005,0.004
L2967,L3020,0.024
L2967,L3030,0.084
L2967,L3031,0.024
L2967,L3067,0.024
L2967,L3088,0.471
L2967,L3093,0.066
L2967,L3101,0.044
L2967,L3105,0.024
L2967,L3109,0.010
L2967,L3155,0.081
L2967,L3297,0.014
L2967,L3397,0.709
L2967,L3402,0.024
L2967,L3425,0.289
L2967,L3773,0.085
L2967,L4008,0.131
L2967,L4053,0.003
L2967,L4921,0.271
L2967,L5045,0.024
L2967,L5048,0.015
L2967,L5063,0.710
L2979,L2985,0.027
L2979,L3005,0.989
L2979,L3016,0.642
L2979,L3020,0.063
L2979,L3028,0.002
L2979,L3031,0.060
L2979,L3041,0.002
L2979,L3093,0.067
L2979,L3103,0.007
L2979,L3109,0.120
L2979,L3150,0.004
L2979,L3240,0.017
L2979,L3296,0.972
L2979,L3297,0.080
L2979,L3861,0.986
L2979,L4418,0.038
L2979,L4425,0.999
L2979,L4921,0.357
L2979,L5063,0.021
L2979,L5071,0.999
L2979,L5138,0.005
L2979,L5276,0.074
L2979,L5476,0.032
L2985,L3038,0.002
L2985,L3090,1.000
L2985,L3344,0.004
L2985,L4462,0.083
L2985,L5036,0.715
L2985,L5047,0.176
L2985,L5055,0.004
L2985,L5092,0.157
L2985,L5177,0.018
L2985,L5238,0.535
L2985,L5414,0.046
L2985,L5464,0.005
L2985,L5588,0.003
L2993,L2995,0.087
L2993,L3005,0.093
L2993,L3020,0.001
L2993,L3030,0.141
L2993,L3031,1.000
L2993,L3105,0.987
L2993,L3109,1.000
L2993,L3114,0.933
L2993,L3155,0.956
L2993,L3369,0.650
L2993,L4979,0.021
L2993,L5064,0.998
L2993,L5227,0.936
L2995,L3030,0.005
L2995,L3093,0.067
L2995,L3101,0.999
L2995,L3130,0.219
L2995,L3155,0.999
L2995,L3297,0.051
L2995,L4418,0.438
L2995,L4921,0.005
L2995,L5063,1.000
L2995,L5069,0.155
L2995,L5071,0.372
L2995,L5246,0.363
L2995,L5476,0.151
L2999,L5057,0.996
L3005,L3030,0.027
L3005,L3088,0.911
L3005,L3093,0.067
L3005,L3101,0.998
L3005,L3155,0.937
L3005,L3297,0.996
L3005,L3397,0.010
L3005,L3861,0.063
L3005,L4418,0.992
L3005,L4921,0.002
L3005,L5048,0.174
L3005,L5063,0.031
L3005,L5069,0.846
L3005,L5071,0.052
L3005,L5246,0.980
L3005,L5253,0.031
L3005,L5476,0.248
L3016,L3088,0.974
L3016,L3093,0.067
L3016,L3101,0.001
L3016,L3401,0.052
L3016,L3773,0.005
L3016,L4008,0.010
L3016,L4418,0.684
L3016,L4425,1.000
L3016,L5048,0.001
L3016,L5069,0.047
L3016,L5071,0.059
L3016,L5246,0.526
L3016,L5253,0.004
L3016,L5476,1.000
L3020,L3030,0.065
L3020,L3093,0.067
L3020,L3101,0.720
L3020,L3150,0.624
L3020,L3155,0.685
L3020,L3240,0.003
L3020,L3297,0.012
L3020,L3397,0.108
L3020,L3425,0.974
L3020,L4008,0.001
L3020,L4053,0.066
L3020,L4418,0.994
L3020,L4425,0.915
L3020,L4921,0.019
L3020,L5048,0.002
L3020,L5063,0.727
L3020,L5071,0.002
L3020,L5246,0.999
L3020,L5476,0.985
L3023,L3044,0.996
L3023,L3052,0.040
L3023,L3086,0.159
L3028,L3038,0.636
L3028,L3039,0.127
L3028,L3069,0.002
L3028,L3076,0.989
L3028,L3088,0.004
L3028,L3090,0.059
L3028,L3344,0.003
L3028,L3346,0.005
L3028,L3363,0.305
L3028,L3366,0.089
L3028,L3702,0.001
L3028,L4462,0.005
L3028,L5024,0.001
L3028,L5036,0.998
L3028,L5047,0.008
L3028,L5055,0.567
L3028,L5092,0.643
L3028,L5230,0.198
L3028,L5248,0.297
L3028,L5300,0.010
L3028,L5464,0.152
L3028,L5485,0.722
L3028,L5488,0.976
L3030,L3039,0.001
L3030,L3041,0.045
L3030,L3068,0.031
L3030,L3101,0.871
L3030,L3103,0.001
L3030,L3105,0.125
L3030,L3114,0.873
L3030,L3130,0.002
L3030,L3369,0.002
L3030,L3370,0.034
L3030,L3384,0.002
L3030,L3395,0.507
L3030,L3425,0.126
L3030,L3430,0.057
L3030,L3586,0.407
L3030,L4923,0.022
L3030,L4966,0.003
L3030,L4979,0.020
L3030,L5227,0.854
L3030,L5244,0.016
L3030,L5390,0.003
L3030,L5483,0.257
L3031,L3088,0.101
L3031,L3093,0.067
L3031,L3130,0.021
L3031,L3155,0.024
L3031,L3297,0.995
L3031,L3397,0.926
L3031,L3861,0.007
L3031,L4008,0.985
L3031,L4418,0.804
L3031,L5063,0.991
L3031,L5069,0.001
L3031,L5071,1.000
L3031,L5246,0.958
L3031,L5476,0.477
L3035,L3039,0.006
L3035,L3068,0.781
L3035,L3076,0.018
L3035,L3155,0.001
L3035,L3344,0.837
L3035,L3363,0.004
L3035,L3366,0.005
L3035,L3700,0.003
L3035,L4991,0.096
L3035,L5024,0.387
L3035,L5177,0.007
L3035,L5238,0.998
L3035,L5300,0.002
L3035,L5468,0.029
L3035,L5485,0.063
L3035,L5488,0.005
L3035,L5593,0.012
L3036,L3092,1.000
L3038,L3090,0.026
L3038,L3093,0.067
L3038,L3347,1.000
L3038,L3944,0.009
L3038,L5037,0.026
L3038,L5092,0.233
L3038,L5230,0.386
L3038,L5464,0.689
L3038,L5469,0.378
L3039,L3090,0.004
L3039,L3093,0.067
L3039,L3155,0.018
L3039,L3700,0.002
L3039,L4905,0.021
L3039,L5037,0.018
L3039,L5400,1.000
L3041,L3086,0.789
L3041,L3093,0.067
L3041,L3240,0.567
L3041,L4008,0.555
L3041,L5048,0.273
L3041,L5063,0.529
L3041,L5071,0.269
L3041,L5138,0.004
L3041,L5476,0.439
L3044,L3052,0.040
L3052,L3093,0.729
L3068,L3086,0.684
L3068,L3093,0.067
L3068,L3366,0.007
L3068,L3369,0.002
L3068,L3607,1.000
L3068,L3608,0.001
L3068,L4462,0.017
L3068,L4899,0.047
L3068,L4923,0.851
L3068,L5047,0.981
L3068,L5177,0.100
L3068,L5230,0.998
L3068,L5238,0.809
L3068,L5248,0.017
L3068,L5414,0.956
L3068,L5465,0.001
L3068,L5468,1.000
L3069,L3086,0.008
L3069,L3090,0.563
L3069,L3093,0.067
L3069,L3347,0.001
L3069,L3553,0.625
L3069,L3607,0.204
L3069,L3702,1.000
L3069,L3940,0.003
L3069,L4462,0.064
L3069,L4889,0.011
L3069,L4951,0.102
L3069,L5024,0.003
L3069,L5047,0.992
L3069,L5062,0.531
L3069,L5092,0.077
L3069,L5230,0.960
L3069,L5238,0.220
L3069,L5239,0.003
L3069,L5263,0.008
L3069,L5281,0.039
L3069,L5393,0.066
L3069,L5400,0.996
L3069,L5464,0.020
L3069,L5465,0.041
L3069,L5485,0.142
L3069,L5588,0.008
L3076,L3093,0.067
L3076,L4899,0.011
L3076,L5036,0.011
L3076,L5037,0.138
L3076,L5174,0.055
L3076,L5236,0.016
L3076,L5238,0.095
L3076,L5239,0.023
L3076,L5469,0.002
L3086,L3093,0.018
L3086,L3103,0.012
L3086,L5048,0.116
L3086,L5072,1.000
L3086,L5469,0.123
L3088,L3101,0.009
L3088,L3103,0.003
L3088,L3109,0.010
L3088,L3700,0.880
L3088,L5055,0.007
L3088,L5225,0.997
L3088,L5248,0.007
L3088,L5464,0.008
L3088,L5465,0.003
L3090,L3346,0.087
L3090,L3412,0.522
L3090,L3702,0.002
L3090,L4905,0.058
L3090,L5037,0.003
L3090,L5238,0.170
L3090,L5281,0.152
L3090,L5464,0.002
L3090,L5468,0.042
L3093,L3103,0.067
L3093,L3105,0.067
L3093,L3109,0.067
L3093,L3130,0.067
L3093,L3150,0.067
L3093,L3240,0.067
L3093,L3295,0.067
L3093,L3296,0.067
L3093,L3297,0.067
L3093,L3397,0.067
L3093,L3401,0.067
L3093,L3425,0.067
L3093,L3434,0.067
L3093,L3861,0.067
L3093,L4008,0.067
L3093,L4053,0.067
L3093,L4418,0.067
L3093,L4425,0.067
L3093,L4921,0.067
L3093,L4972,0.067
L3093,L5048,0.067
L3093,L5063,0.067
L3093,L5069,0.067
L3093,L5071,0.067
L3093,L5072,0.121
L3093,L5138,0.067
L3093,L5246,0.067
L3093,L5253,0.067
L3093,L5276,0.067
L3093,L5315,0.067
L3093,L5476,0.067
L3101,L3105,0.999
L3101,L3109,0.055
L3101,L3114,1.000
L3101,L3369,0.010
L3101,L3370,1.000
L3101,L3395,0.446
L3101,L3984,0.035
L3101,L4966,0.002
L3101,L5064,0.830
L3101,L5066,0.160
L3101,L5070,0.035
L3101,L5483,0.883
L3103,L3130,0.802
L3103,L5063,0.679
L3103,L5246,0.991
L3105,L3130,0.020
L3105,L3150,0.364
L3105,L3155,0.210
L3105,L3297,0.073
L3105,L3397,0.099
L3105,L3425,0.983
L3105,L5048,0.363
L3105,L5063,0.002
L3105,L5246,0.002
L3105,L5253,0.032
L3109,L3155,1.000
L3109,L3240,0.943
L3109,L4053,0.004
L3109,L4418,1.000
L3109,L5071,0.998
L3109,L5138,0.912
L3109,L5246,0.038
L3109,L5476,0.115
L3114,L3369,0.005
L3114,L3370,0.213
L3114,L3382,0.355
L3114,L3395,0.003
L3114,L3402,0.002
L3114,L3430,0.081
L3114,L3845,0.366
L3114,L4451,0.028
L3114,L5048,1.000
L3114,L5067,0.483
L3114,L5219,0.972
L3114,L5227,0.923
L3114,L5236,0.982
L3114,L5453,0.025
L3114,L5483,1.000
L3114,L5488,0.330
L3130,L3150,0.045
L3130,L3425,0.023
L3150,L3240,0.865
L3150,L3319,1.000
L3150,L3397,0.016
L3150,L3434,0.046
L3150,L4013,1.000
L3150,L4053,0.664
L3150,L5063,0.937
L3150,L5138,0.002
L3150,L5276,0.003
L3155,L4905,0.003
L3155,L5230,0.017
L3155,L5239,0.003
L3240,L3296,1.000
L3240,L3363,0.010
L3240,L3401,1.000
L3240,L3773,0.002
L3240,L3861,0.938
L3240,L4008,0.925
L3240,L4053,0.996
L3240,L4418,1.000
L3240,L4441,0.999
L3240,L5036,0.999
L3240,L5069,0.284
L3240,L5070,0.300
L3240,L5071,0.987
L3240,L5092,0.594
L3240,L5276,1.000
L3240,L5315,1.000
L3240,L5469,0.169
L3295,L3297,0.613
L3295,L3397,0.006
L3295,L3401,0.032
L3295,L3425,0.787
L3295,L3430,0.003
L3295,L3773,0.109
L3295,L3940,0.004
L3295,L4008,0.006
L3295,L4418,0.033
L3295,L4889,0.014
L3295,L5227,0.978
L3295,L5238,0.003
L3295,L5244,0.803
L3295,L5261,0.230
L3295,L5281,0.509
L3295,L5400,0.991
L3296,L3346,0.046
L3296,L3363,0.003
L3296,L3397,0.001
L3296,L3401,0.984
L3296,L3553,0.934
L3296,L4418,0.403
L3296,L4425,0.867
L3296,L4966,0.001
L3296,L5014,0.011
L3296,L5048,0.003
L3296,L5069,0.153
L3296,L5071,0.027
L3296,L5253,0.002
L3297,L3310,0.001
L3297,L3370,0.020
L3297,L3381,0.459
L3297,L3409,0.002
L3297,L3412,0.001
L3297,L3425,0.936
L3297,L3434,0.001
L3297,L3700,0.995
L3297,L3861,0.002
L3297,L4008,0.918
L3297,L4053,0.182
L3297,L4424,0.915
L3297,L4425,0.001
L3297,L5071,0.903
L3297,L5253,0.499
L3297,L5315,0.518
L3297,L5465,0.001
L3297,L5476,0.072
L3297,L5580,0.077
L3310,L3344,0.002
L3310,L3845,0.996
L3310,L4889,0.002
L3310,L4905,0.002
L3310,L5024,0.003
L3310,L5063,0.062
L3310,L5464,0.148
L3344,L3363,0.001
L3344,L3381,0.013
L3344,L3382,0.043
L3344,L3412,0.700
L3344,L3425,0.006
L3344,L3608,0.003
L3344,L3702,0.030
L3344,L4053,0.029
L3344,L4424,0.001
L3344,L4889,0.001
L3344,L4951,0.311
L3344,L5024,0.169
L3344,L5036,0.913
L3344,L5047,0.027
L3344,L5055,0.974
L3344,L5177,0.262
L3344,L5230,0.004
L3344,L5238,0.451
L3344,L5281,0.810
L3344,L5300,0.128
L3344,L5414,0.039
L3344,L5485,0.888
L3344,L5593,0.717
L3346,L3363,0.213
L3346,L3425,0.492
L3346,L3434,0.002
L3346,L3608,0.999
L3346,L4951,0.664
L3346,L4966,0.001
L3346,L4991,0.053
L3346,L5014,0.001
L3346,L5047,0.004
L3346,L5055,0.617
L3346,L5072,0.008
L3346,L5225,0.852
L3346,L5239,0.005
L3346,L5300,0.414
L3346,L5468,0.104
L3347,L3401,0.017
L3347,L3412,0.093
L3347,L3629,0.318
L3347,L3845,0.053
L3347,L3861,0.164
L3347,L4462,0.008
L3347,L4923,0.293
L3347,L4972,0.001
L3347,L5062,0.998
L3347,L5092,0.026
L3347,L5230,0.734
L3347,L5238,0.594
L3347,L5276,0.017
L3347,L5281,0.824
L3347,L5400,0.840
L3347,L5407,0.011
L3347,L5588,0.846
L3363,L3366,0.890
L3363,L3409,0.005
L3363,L3412,0.004
L3363,L3425,0.001
L3363,L3608,0.002
L3363,L3702,0.105
L3363,L3944,0.870
L3363,L4053,0.002
L3363,L4425,0.003
L3363,L4441,0.036
L3363,L4462,0.775
L3363,L4937,0.002
L3363,L4966,0.093
L3363,L4979,0.103
L3363,L5036,0.065
L3363,L5062,0.722
L3363,L5092,0.055
L3363,L5174,0.001
L3363,L5248,0.009
L3363,L5281,0.016
L3363,L5315,0.014
L3363,L5476,0.591
L3363,L5588,0.856
L3363,L5593,0.952
L3366,L3395,0.004
L3366,L3409,0.960
L3366,L3412,0.159
L3366,L3425,0.565
L3366,L3586,0.003
L3366,L3607,0.095
L3366,L3608,0.267
L3366,L3702,0.732
L3366,L3940,0.005
L3366,L4424,0.009
L3366,L4451,0.229
L3366,L4889,0.002
L3366,L4905,0.006
L3366,L5024,0.002
L3366,L5036,0.999
L3366,L5062,0.002
L3366,L5248,0.004
L3366,L5300,0.756
L3366,L5393,0.997
L3366,L5414,0.981
L3366,L5453,0.074
L3369,L3370,0.833
L3369,L3402,0.003
L3369,L3607,0.126
L3369,L3608,0.074
L3369,L3773,0.045
L3369,L4053,0.242
L3369,L4462,0.875
L3369,L4923,0.035
L3369,L5024,0.001
L3369,L5047,0.004
L3369,L5064,0.020
L3369,L5227,0.018
L3369,L5390,0.555
L3369,L5407,0.128
L3369,L5414,0.127
L3370,L3381,0.996
L3370,L3395,0.003
L3370,L3397,1.000
L3370,L3402,0.992
L3370,L3409,0.693
L3370,L3430,0.998
L3370,L3586,0.011
L3370,L3700,0.171
L3370,L3984,0.939
L3370,L4921,0.992
L3370,L4937,0.102
L3370,L5063,0.155
L3370,L5064,0.999
L3370,L5070,0.238
L3370,L5246,1.000
L3370,L5390,0.473
L3370,L5465,0.087
L3381,L3382,0.160
L3381,L3397,0.770
L3381,L3608,0.948
L3381,L3944,0.002
L3381,L4921,0.990
L3381,L5045,0.005
L3381,L5177,0.134
L3381,L5246,0.006
L3381,L5263,0.002
L3381,L5414,0.036
L3382,L3409,0.001
L3382,L4424,0.009
L3382,L4889,0.023
L3382,L4905,0.519
L3382,L4951,0.005
L3382,L5048,0.995
L3382,L5092,0.029
L3382,L5238,0.257
L3382,L5464,0.289
L3382,L5593,0.028
L3384,L3430,0.993
L3384,L3773,0.011
L3384,L4441,0.741
L3384,L4462,0.009
L3384,L5227,0.005
L3384,L5261,0.006
L3395,L3402,0.001
L3395,L3425,0.007
L3395,L3430,0.942
L3395,L3773,0.635
L3395,L3984,0.999
L3395,L5227,0.008
L3395,L5244,0.008
L3395,L5390,0.002
L3395,L5483,0.003
L3397,L3409,0.498
L3397,L3425,0.553
L3397,L4008,0.995
L3397,L4053,0.254
L3397,L5048,0.989
L3397,L5485,0.021
L3397,L5580,0.173
L3397,L5593,0.023
L3401,L3430,0.136
L3401,L3434,0.100
L3401,L3607,0.002
L3401,L3608,0.890
L3401,L3629,0.008
L3401,L3940,0.048
L3401,L4008,0.048
L3401,L4053,0.003
L3401,L4418,0.481
L3401,L4425,0.235
L3401,L4899,0.059
L3401,L4951,0.002
L3401,L5138,0.018
L3401,L5174,0.304
L3401,L5246,0.005
L3401,L5253,0.001
L3401,L5261,0.021
L3401,L5393,0.009
L3401,L5407,0.527
L3402,L3430,0.008
L3402,L3586,1.000
L3402,L3773,0.601
L3402,L3984,1.000
L3402,L4008,0.999
L3402,L4441,0.980
L3402,L4451,0.255
L3402,L4905,0.008
L3402,L4937,0.008
L3402,L4979,0.989
L3402,L5014,0.001
L3402,L5045,0.999
L3402,L5064,0.572
L3402,L5066,0.969
L3402,L5070,0.045
L3402,L5071,1.000
L3402,L5227,0.737
L3402,L5261,0.013
L3402,L5407,1.000
L3409,L3607,0.156
L3409,L3845,0.434
L3409,L3944,0.105
L3409,L4462,0.022
L3409,L5230,0.002
L3409,L5239,0.001
L3409,L5246,0.968
L3409,L5263,0.726
L3412,L3608,0.005
L3412,L3940,0.024
L3412,L3944,0.997
L3412,L4921,0.001
L3412,L5036,0.001
L3412,L5063,0.106
L3412,L5092,0.285
L3425,L3553,0.035
L3425,L3586,0.994
L3425,L3773,0.094
L3425,L3861,0.002
L3425,L3944,0.272
L3425,L4008,0.256
L3425,L4418,0.936
L3425,L4921,0.999
L3425,L4966,0.001
L3425,L5048,0.992
L3425,L5246,0.048
L3425,L5453,0.179
L3425,L5588,0.668
L3430,L3586,0.004
L3430,L3607,0.995
L3430,L3629,0.002
L3430,L3861,0.871
L3430,L3940,0.045
L3430,L3984,0.997
L3430,L4889,0.003
L3430,L4923,0.132
L3430,L4979,0.009
L3430,L5037,0.003
L3430,L5047,0.003
L3430,L5062,0.003
L3430,L5064,0.995
L3430,L5174,0.059
L3430,L5227,0.997
L3430,L5230,0.003
L3430,L5238,0.006
L3430,L5244,0.754
L3430,L5253,0.003
L3430,L5261,0.017
L3430,L5276,0.089
L3430,L5281,0.003
L3430,L5390,0.947
L3430,L5400,0.003
L3430,L5464,0.003
L3430,L5469,0.003
L3430,L5483,0.997
L3434,L3553,0.996
L3434,L4008,0.003
L3434,L4921,0.955
L3434,L4979,0.002
L3434,L5014,0.014
L3553,L3607,0.059
L3553,L3702,0.027
L3553,L3845,0.004
L3553,L3940,0.942
L3553,L4053,0.067
L3553,L4451,0.059
L3553,L4889,0.006
L3553,L4937,0.003
L3553,L4951,0.998
L3553,L4979,0.003
L3553,L5024,0.999
L3553,L5037,0.002
L3553,L5177,0.973
L3553,L5230,0.927
L3553,L5238,0.150
L3553,L5281,0.571
L3553,L5300,0.482
L3553,L5400,0.004
L3586,L3944,0.222
L3586,L3984,0.947
L3586,L5064,0.012
L3586,L5227,0.009
L3586,L5244,0.425
L3586,L5390,0.991
L3607,L3700,0.008
L3607,L3773,0.158
L3607,L3845,0.021
L3607,L5047,0.005
L3607,L5092,0.003
L3607,L5230,0.997
L3607,L5236,0.140
L3607,L5261,0.049
L3607,L5263,0.291
L3607,L5273,0.002
L3607,L5281,0.029
L3607,L5400,0.005
L3607,L5593,0.697
L3608,L3629,0.235
L3608,L3773,0.001
L3608,L3861,0.036
L3608,L3944,0.696
L3608,L5024,0.006
L3608,L5062,0.008
L3608,L5238,0.021
L3608,L5263,0.426
L3608,L5281,0.009
L3608,L5300,0.647
L3608,L5400,0.002
L3608,L5593,0.003
L3629,L3861,0.232
L3629,L3940,0.048
L3629,L4899,0.317
L3629,L4972,0.043
L3629,L5174,0.068
L3629,L5238,0.299
L3629,L5407,0.062
L3629,L5414,0.307
L3700,L3702,0.983
L3700,L3944,0.010
L3700,L4921,0.018
L3700,L5045,0.009
L3700,L5063,0.022
L3700,L5219,0.065
L3700,L5230,1.000
L3700,L5246,0.010
L3700,L5588,0.006
L3702,L4441,0.006
L3702,L4951,0.002
L3702,L4991,1.000
L3702,L5070,0.773
L3702,L5219,0.045
L3702,L5281,0.005
L3702,L5393,0.008
L3702,L5476,0.001
L3702,L5588,0.195
L3773,L3940,0.048
L3773,L3984,0.668
L3773,L4008,0.066
L3773,L4053,0.130
L3773,L4418,0.317
L3773,L4425,0.995
L3773,L4451,0.001
L3773,L4923,0.021
L3773,L4937,0.468
L3773,L4951,0.314
L3773,L4966,0.579
L3773,L4972,0.030
L3773,L4979,0.414
L3773,L5036,0.003
L3773,L5037,0.003
L3773,L5048,0.003
L3773,L5064,0.177
L3773,L5071,0.002
L3773,L5138,0.023
L3773,L5238,0.180
L3773,L5390,0.002
