OffspringID1,OffspringID2,Probability
L0340,L0341,1.000
L0340,L0373,0.913
L0340,L1215,1.000
L0340,L2361,0.433
L0340,L2418,0.004
L0340,L2563,0.002
L0340,L2571,0.999
L0341,L0373,1.000
L0341,L1215,1.000
L0341,L2418,0.741
L0341,L2563,0.002
L0341,L2571,0.561
L0373,L1215,0.620
L0373,L2361,0.016
L0373,L2571,0.040
L1215,L2361,0.413
L1215,L2418,0.193
L1215,L2563,0.417
L1215,L2571,0.050
L1215,L3042,0.542
L2212,L2284,0.997
L2212,L2310,0.046
L2212,L2369,0.989
L2212,L2414,0.132
L2212,L2427,0.005
L2212,L2430,0.771
L2212,L2485,0.607
L2212,L2486,0.002
L2212,L2552,0.024
L2212,L2562,0.749
L2212,L2564,0.002
L2212,L5272,0.002
L2214,L2218,0.018
L2214,L2220,0.998
L2214,L2325,0.004
L2214,L2386,0.853
L2214,L2424,0.002
L2214,L2429,0.011
L2214,L2577,0.030
L2216,L2329,0.875
L2216,L2346,0.803
L2216,L2383,0.007
L2216,L2414,0.002
L2216,L2431,0.974
L2216,L2479,0.968
L2216,L2487,0.998
L2216,L2574,0.012
L2216,L2582,1.000
L2218,L2310,0.066
L2218,L2368,0.011
L2218,L2369,0.024
L2218,L2386,0.728
L2218,L2406,0.732
L2218,L2471,0.248
L2218,L2483,0.008
L2218,L2486,0.004
L2218,L2552,0.005
L2218,L2564,0.053
L2218,L2577,0.438
L2220,L2274,0.778
L2220,L2386,0.996
L2220,L2406,0.892
L2220,L2424,0.002
L2220,L2429,0.998
L2220,L2470,0.985
L2220,L2483,0.591
L2220,L2555,0.997
L2220,L2577,0.994
L2226,L2325,0.004
L2226,L2329,0.782
L2226,L2346,0.148
L2226,L2383,0.027
L2226,L2431,0.010
L2226,L2574,0.180
L2226,L2582,0.730
L2274,L2429,0.996
L2274,L2470,0.420
L2274,L2555,0.191
L2276,L2291,0.006
L2276,L2325,0.006
L2276,L2384,0.006
L2276,L2472,0.006
L2276,L2480,0.006
L2284,L2291,0.003
L2284,L2414,0.067
L2284,L2424,0.731
L2284,L2427,0.005
L2284,L2485,0.998
L2284,L2562,0.999
L2284,L2566,0.001
L2284,L5272,0.002
L2291,L2384,0.992
L2291,L2414,0.002
L2291,L2427,0.002
L2291,L2471,0.003
L2291,L2472,0.122
L2291,L2552,0.003
L2291,L2566,0.931
L2291,L5272,0.002
L2310,L2369,0.014
L2310,L2414,0.369
L2310,L2427,0.005
L2310,L2430,0.570
L2310,L2562,0.485
L2310,L2564,0.955
L2310,L2566,0.006
L2310,L5272,0.002
L2325,L2329,0.004
L2325,L2406,0.258
L2325,L2574,0.003
L2329,L2346,0.459
L2329,L2383,0.992
L2329,L2479,0.997
L2329,L2487,0.998
L2329,L2574,0.254
L2329,L2582,0.996
L2346,L2383,0.072
L2346,L2574,0.022
L2361,L2418,0.767
L2361,L2563,0.188
L2361,L2571,0.353
L2361,L3042,0.101
L2368,L2369,0.037
L2368,L2384,0.002
L2368,L2414,0.988
L2368,L2424,0.680
L2368,L2427,0.006
L2368,L2430,0.962
L2368,L2480,0.002
L2368,L2486,0.998
L2368,L2562,0.997
L2368,L2564,0.960
L2368,L2566,0.008
L2369,L2414,0.383
L2369,L2430,0.011
L2369,L2486,0.029
L2369,L2564,0.942
L2369,L5272,0.002
L2383,L2414,0.002
L2383,L2487,0.006
L2383,L2582,0.129
L2384,L2414,0.010
L2384,L2427,0.994
L2384,L2472,0.229
L2384,L2480,0.146
L2386,L2406,0.935
L2386,L2470,0.514
L2386,L2483,0.318
L2386,L2555,0.215
L2386,L2564,0.002
L2386,L2577,0.307
L2406,L2470,0.321
L2406,L2483,0.983
L2406,L2564,0.001
L2406,L2566,0.015
L2406,L2577,0.985
L2414,L2424,0.009
L2414,L2427,0.016
L2414,L2430,0.038
L2414,L2471,0.295
L2414,L2472,0.008
L2414,L2480,0.011
L2414,L2485,0.010
L2414,L2486,0.213
L2414,L2552,0.275
L2414,L2562,0.618
L2414,L2566,0.017
L2414,L2582,0.002
L2418,L3042,0.965
L2424,L2429,0.001
L2424,L2470,0.002
L2424,L2485,0.002
L2424,L2486,0.736
L2424,L2552,0.805
L2424,L2555,0.002
L2424,L2566,0.006
L2424,L2577,0.002
L2427,L2472,0.994
L2427,L2480,0.983
L2427,L2562,0.005
L2427,L2566,0.999
L2429,L2470,0.216
L2429,L2555,0.994
L2430,L2471,0.197
L2430,L2485,0.280
L2430,L2486,1.000
L2430,L2562,1.000
L2430,L2564,0.025
L2430,L2566,0.006
L2430,L5272,0.002
L2431,L2479,0.724
L2431,L2487,0.001
L2431,L2574,0.004
L2431,L2582,0.999
L2470,L2483,0.982
L2470,L2555,0.987
L2470,L2564,0.002
L2470,L2577,0.029
L2471,L2485,0.907
L2471,L2486,0.035
L2471,L5272,0.002
L2472,L2480,0.999
L2472,L2566,0.994
L2479,L2582,0.919
L2480,L2566,0.994
L2483,L2555,0.005
L2483,L2564,0.002
L2483,L2577,0.994
L2485,L2552,0.034
L2485,L2564,0.356
L2485,L2566,0.004
L2485,L5272,0.002
L2486,L2552,0.971
L2486,L2564,0.295
L2486,L5272,0.002
L2487,L2582,0.228
L2552,L2562,0.295
L2552,L2564,0.012
L2552,L2566,0.006
L2552,L5272,0.002
L2555,L2577,0.001
L2562,L2566,0.003
L2562,L5272,0.002
L2564,L2566,0.006
L2571,L3042,0.953
L2574,L2582,0.036
